loading annotations into memory...
Done (t=0.98s)
(8, 'playstation')
(8, 'playroom')
(8, "player's")
(8, 'plats')
(8, 'plain,')
(8, 'pike')
(8, 'pie,')
(8, 'picker')
(8, 'photoshop')
(8, 'photographic')
(8, 'peson')
(8, 'peripherals')
(8, 'peperoni')
(8, 'pedestals')
(8, 'pedals')
(8, 'pear,')
(8, 'peal')
(8, 'paused')
(8, "patrick's")
(8, 'patchy')
(8, 'pasted')
(8, 'passport')
(8, 'participate')
(8, 'pared')
(8, 'parakeet')
(8, 'parading')
(8, 'panini')
(8, 'pamphlets')
(8, 'paisley')
(8, 'p')
(8, 'over,')
(8, 'ovens,')
(8, 'outs')
(8, 'original')
(8, 'orchid')
(8, 'operates')
(8, 'opener')
(8, 'ontop')
(8, "one's")
(8, 'ona')
(8, 'omelette')
(8, 'oceans')
(8, "ocean's")
(8, 'oblong')
(8, 'nun')
(8, 'notes,')
(8, 'nick')
(8, 'netbook')
(8, 'navel')
(8, 'nad')
(8, 'multicolor')
(8, 'momma')
(8, 'moderate')
(8, 'modeled')
(8, 'mmm')
(8, 'mitten')
(8, 'mic')
(8, 'mexico')
(8, 'messed')
(8, 'memory')
(8, 'mein')
(8, 'medley')
(8, 'meaty')
(8, 'meatballs,')
(8, 'measure')
(8, 'mates')
(8, 'mate')
(8, 'market,')
(8, 'mario')
(8, 'marinara')
(8, 'marijuana')
(8, 'mango')
(8, 'manger')
(8, 'lunches')
(8, 'loving')
(8, 'loveseat,')
(8, 'loves')
(8, 'louis')
(8, 'logos')
(8, 'locomotives')
(8, 'lo')
(8, 'lit,')
(8, 'listen')
(8, 'linoleum')
(8, 'links')
(8, 'ledge,')
(8, 'lcd')
(8, 'lavishly')
(8, 'later')
(8, 'largely')
(8, 'lacy')
(8, 'kraut')
(8, 'knoll')
(8, 'kneepads')
(8, 'klm')
(8, 'kites,')
(8, 'kickstand')
(8, 'keychain')
(8, 'kettle,')
(8, 'k')
(8, 'intriguing')
(8, 'intricately')
(8, 'instructional')
(8, 'inserted')
(8, 'innocent')
(8, 'inflated')
(8, 'icon')
(8, 'hyenas')
(8, 'hundred')
(8, 'humorous')
(8, 'hosing')
(8, 'hitter,')
(8, 'hippo')
(8, 'highway,')
(8, 'hide')
(8, 'headlight')
(8, 'hatchback')
(8, 'handlebar')
(8, 'guitar,')
(8, 'grape')
(8, 'grandmother')
(8, 'graduates')
(8, 'gowns')
(8, 'gotten')
(8, 'goodbye')
(8, 'gold,')
(8, 'girls,')
(8, 'gingerbread')
(8, 'garland')
(8, 'gallop')
(8, 'g')
(8, 'frown')
(8, 'frosty')
(8, 'frolic')
(8, 'fridges')
(8, 'forth')
(8, 'former')
(8, 'forest,')
(8, 'flyer')
(8, 'fling')
(8, 'flickr')
(8, 'fives')
(8, 'finely')
(8, 'fin')
(8, 'ferret')
(8, 'feathered')
(8, 'fe')
(8, 'faux')
(8, "father's")
(8, 'fascinated')
(8, 'fancy,')
(8, 'fancily')
(8, 'extravagant')
(8, 'expressing')
(8, 'exploring')
(8, 'experiment')
(8, 'executive')
(8, 'executing')
(8, 'examined')
(8, 'estate')
(8, 'ergonomic')
(8, 'envelopes')
(8, 'entryway')
(8, 'enthusiast')
(8, 'emptied')
(8, 'empire')
(8, 'egyptian')
(8, 'efficient')
(8, 'edited')
(8, 'dummies')
(8, 'dry,')
(8, 'dribbles')
(8, 'drenched')
(8, 'dreadlocks')
(8, 'drawers,')
(8, 'drag')
(8, 'downwards')
(8, 'downed')
(8, 'dollars')
(8, 'documents')
(8, 'dividing')
(8, 'disks')
(8, 'disembark')
(8, 'dinnerware')
(8, 'dine')
(8, 'dimly-lit')
(8, 'diffrent')
(8, 'detail')
(8, 'desserts,')
(8, 'desks,')
(8, 'deployed')
(8, 'departure')
(8, 'densely')
(8, 'demonic')
(8, 'demon')
(8, 'deflated')
(8, 'decorations,')
(8, 'deco')
(8, 'deal')
(8, 'darth')
(8, 'dancer')
(8, 'cupcakes,')
(8, 'culinary')
(8, 'crumbled')
(8, 'croquet')
(8, 'crests')
(8, 'crepe')
(8, 'creatures')
(8, 'creates')
(8, 'cookie,')
(8, 'consuming')
(8, 'congested')
(8, 'compute')
(8, 'complicated')
(8, 'comically')
(8, 'colts')
(8, 'colliding')
(8, 'collected')
(8, 'coleslaw,')
(8, 'coach,')
(8, 'co')
(8, 'closest')
(8, 'clipping')
(8, 'clipped')
(8, 'clinton')
(8, 'clinging')
(8, 'choice')
(8, 'chevy')
(8, 'charm')
(8, 'charcoal')
(8, 'chain-link')
(8, 'caucasian')
(8, 'casing')
(8, 'cartoons')
(8, 'carcass')
(8, 'candy,')
(8, 'candlelight')
(8, 'calculator,')
(8, 'butts')
(8, 'burritos')
(8, 'bulldozer')
(8, 'bronco')
(8, 'brim')
(8, 'briefcases')
(8, 'bridled')
(8, 'boxcar')
(8, 'bound')
(8, 'bordering')
(8, 'boots,')
(8, 'bones')
(8, 'blt')
(8, 'blizzard')
(8, 'blend')
(8, 'billows')
(8, 'bicycling')
(8, 'belongs')
(8, 'bazaar')
(8, 'bath,')
(8, 'basil,')
(8, 'baseline')
(8, 'barbwire')
(8, 'barbie')
(8, 'bagged')
(8, 'backing')
(8, 'awnings')
(8, 'average')
(8, 'ave"')
(8, 'assembling')
(8, 'asking')
(8, 'ascent')
(8, 'arugula')
(8, 'articulated')
(8, 'artful')
(8, 'arial')
(8, 'applying')
(8, 'application')
(8, 'ankles')
(8, 'almonds,')
(8, 'alligator')
(8, 'aimed')
(8, 'ads')
(8, 'actually')
(8, '20th')
(8, '"war"')
(8, '"all')
(7, 'zip')
(7, 'you"')
(7, 'yarn,')
(7, 'wrestler')
(7, 'wrestle')
(7, 'woods,')
(7, 'wood-paneled')
(7, 'wispy')
(7, 'wintry')
(7, 'windowed')
(7, 'widescreen')
(7, 'wholly')
(7, 'whimsical')
(7, 'wharf')
(7, 'wet-suit')
(7, 'well-made')
(7, 'waxed')
(7, 'washington,')
(7, 'wand')
(7, 'wall-mounted')
(7, 'walkie')
(7, 'wakeboarder')
(7, 'volkswagen')
(7, 'vista')
(7, 'vinyl')
(7, 'videos')
(7, 'vice')
(7, 'vessels')
(7, 'vegan')
(7, 'varied')
(7, 'van,')
(7, 'v')
(7, 'utilizing')
(7, 'unzipped')
(7, 'unit,')
(7, 'uniforms,')
(7, 'unicorn')
(7, 'unfurnished')
(7, 'unbaked')
(7, 'un')
(7, 'ultra')
(7, 'two-story')
(7, 'twists')
(7, 'twist')
(7, 'twins')
(7, 'tummy')
(7, 'troll')
(7, 'triumph')
(7, 'tricky')
(7, 'triangles')
(7, 'treetops')
(7, 'trapped')
(7, 'transparent')
(7, 'toy,')
(7, 'toting')
(7, 'toothpick')
(7, 'tomatos')
(7, 'toga')
(7, 'tipping')
(7, 'tiki')
(7, 'tickets')
(7, 'thorny')
(7, 'thinks')
(7, 'thanksgiving')
(7, 'thames')
(7, 'terrible')
(7, 'tent,')
(7, 'tended')
(7, 'teddybear')
(7, 'team,')
(7, 'te')
(7, 'task')
(7, 'tartar')
(7, 'tangle')
(7, 'tandem')
(7, 'tablet,')
(7, 'tabe')
(7, 'swirl')
(7, 'swimsuits')
(7, 'sweeper')
(7, 'sun,')
(7, 'struggling')
(7, 'streets,')
(7, 'streaking')
(7, 'stranded')
(7, 'strand')
(7, 'straining')
(7, 'sterile')
(7, 'steet')
(7, 'startled')
(7, 'staples')
(7, 'staning')
(7, 'standstill')
(7, 'squeezing')
(7, 'splayed')
(7, 'specially')
(7, 'spear')
(7, 'sparkler')
(7, 'sown')
(7, 'southwestern')
(7, 'soul')
(7, 'smoggy')
(7, 'smirk')
(7, 'slug')
(7, 'slowing')
(7, 'slips')
(7, 'sittin')
(7, 'since')
(7, 'simultaneously')
(7, 'shutter')
(7, 'shoving')
(7, 'shoveling')
(7, 'shit')
(7, 'shiny,')
(7, 'shelfs')
(7, 'shave')
(7, 'settee')
(7, 'seattle')
(7, 'scantily')
(7, 'satchel')
(7, "santa's")
(7, 'sandwiched')
(7, 'sandwhiches')
(7, 'salmon,')
(7, 'salami')
(7, 'safeway')
(7, 'safely')
(7, 'sadly')
(7, 'saddles')
(7, 'rusty,')
(7, 'rusting')
(7, 'runaway')
(7, 'ruck')
(7, 'routes')
(7, 'round,')
(7, 'rotating')
(7, 'rose,')
(7, 'rooftops')
(7, 'roofs')
(7, 'robin')
(7, 'roaring')
(7, 'riverside')
(7, 'rims')
(7, 'rickshaw')
(7, 'reporters')
(7, 'reporter')
(7, 'renovations')
(7, 'renaissance')
(7, 'relief')
(7, 'refueling')
(7, 'recorder')
(7, 'raring')
(7, 'ramp,')
(7, 'racquet,')
(7, 'rackets,')
(7, 'queue')
(7, 'puppets')
(7, 'pup')
(7, 'pumping')
(7, 'puff')
(7, 'provided')
(7, 'protrudes')
(7, 'propane')
(7, 'promotional')
(7, 'prom')
(7, 'presidential')
(7, 'predators')
(7, 'pounce')
(7, 'posh')
(7, 'portraits')
(7, 'poop')
(7, 'poem')
(7, 'plump')
(7, 'plume')
(7, 'plaster')
(7, 'piping')
(7, 'pipeline')
(7, 'pint')
(7, 'pills')
(7, 'pill')
(7, 'photo-shopped')
(7, 'pf')
(7, 'personalized')
(7, 'peeping')
(7, 'peeing')
(7, 'peddling')
(7, 'pawn')
(7, 'paragliding')
(7, 'papered')
(7, 'pant')
(7, 'paired')
(7, 'overlooked')
(7, 'overcoat')
(7, 'outwards')
(7, 'outlined')
(7, 'outline')
(7, 'outfielder')
(7, 'outdoors,')
(7, 'oin')
(7, 'off,')
(7, 'obese')
(7, 'nw')
(7, 'nozzle')
(7, 'nourishment')
(7, 'notebooks,')
(7, 'new,')
(7, 'necessities')
(7, 'neat,')
(7, 'narrow,')
(7, 'name,')
(7, 'murals')
(7, 'multi-story')
(7, 'mules')
(7, 'mower')
(7, 'mowed')
(7, 'movable')
(7, 'motors')
(7, 'monopoly')
(7, 'monochrome')
(7, 'moldy')
(7, 'mock')
(7, 'mixers')
(7, 'minute')
(7, 'minor')
(7, 'mingling')
(7, 'mills')
(7, 'mild')
(7, 'middle,')
(7, 'mid-flight')
(7, 'michigan')
(7, 'melon,')
(7, 'meal,')
(7, 'masked')
(7, 'marshy')
(7, 'markets')
(7, 'manmade')
(7, 'magnets,')
(7, 'mache')
(7, 'london,')
(7, 'lollipop')
(7, 'loader')
(7, 'listed')
(7, 'line,')
(7, 'likely')
(7, 'lighting,')
(7, 'lattice')
(7, 'latte')
(7, 'latin')
(7, 'laminate')
(7, 'lake,')
(7, 'labelled')
(7, 'known')
(7, 'kill')
(7, "kid's")
(7, 'keyboards,')
(7, 'kart')
(7, 'jumble')
(7, 'judged')
(7, 'jello')
(7, 'jams')
(7, 'jammed')
(7, 'interacts')
(7, 'installing')
(7, 'inscribed')
(7, 'inches')
(7, 'illuminating')
(7, 'id')
(7, 'icons')
(7, 'icecream')
(7, 'hyde')
(7, 'huddling')
(7, 'houseboat')
(7, 'horrible')
(7, 'hoods')
(7, 'hitch')
(7, 'hikers')
(7, 'highlighted')
(7, 'hi')
(7, 'helped')
(7, 'heights')
(7, 'hearth')
(7, 'heart-shaped')
(7, 'happening')
(7, 'handbags')
(7, 'grip')
(7, 'grimaces')
(7, 'grille')
(7, 'grates')
(7, 'grassing')
(7, 'graphics')
(7, 'grainy')
(7, 'graham')
(7, 'graffitti')
(7, 'goo')
(7, 'gondola')
(7, 'goldfish')
(7, 'gloves,')
(7, 'gliders')
(7, 'glares')
(7, 'girlfriend')
(7, 'general')
(7, 'geared')
(7, 'gauze')
(7, 'gatorade')
(7, 'garnishment')
(7, 'garnishes')
(7, 'gallon')
(7, 'gain')
(7, 'future')
(7, 'furnishing')
(7, 'funnel')
(7, 'funky')
(7, 'fro')
(7, 'frame,')
(7, 'foods,')
(7, 'foaming')
(7, 'flushed')
(7, 'fluid')
(7, 'fluffy,')
(7, 'floss')
(7, 'flattened')
(7, 'flat,')
(7, 'flask')
(7, 'fitting')
(7, 'fisherman')
(7, 'finding')
(7, 'fifteen')
(7, 'fender')
(7, 'feminine')
(7, 'feeling')
(7, 'failing')
(7, 'f')
(7, 'expansive')
(7, 'example')
(7, 'evergreens')
(7, 'etched')
(7, 'essentials')
(7, 'erect')
(7, 'erase')
(7, 'entirely')
(7, 'electricity')
(7, 'elder')
(7, 'easter')
(7, 'earlier')
(7, 'dwarfed')
(7, 'duo')
(7, 'dune')
(7, 'drifting')
(7, 'dreads')
(7, 'drainage')
(7, 'dragged')
(7, 'downstairs')
(7, 'dove')
(7, 'double-decked')
(7, 'domestic')
(7, "doll's")
(7, 'dole')
(7, 'dock,')
(7, 'disrepair')
(7, 'diagonally')
(7, 'development')
(7, 'developed')
(7, 'determined')
(7, 'detailing')
(7, 'dentist')
(7, 'demonstrates')
(7, 'demonstrate')
(7, 'delicacy')
(7, 'del')
(7, 'death')
(7, 'daybed')
(7, 'daughters')
(7, 'danish')
(7, 'dandelion')
(7, 'dances')
(7, 'dalmation')
(7, 'cutlery')
(7, 'cut,')
(7, 'customized')
(7, 'custard')
(7, 'cupola')
(7, 'crusty')
(7, 'crusted')
(7, 'cruiser')
(7, 'crt')
(7, 'crotch')
(7, 'crossroads')
(7, 'crossing,')
(7, 'crescent')
(7, 'crabs')
(7, 'cowgirl')
(7, 'cornbread')
(7, 'core')
(7, 'cords,')
(7, 'corded')
(7, 'coolers')
(7, 'cooktop')
(7, 'cooked,')
(7, 'convoy')
(7, 'contending')
(7, 'consist')
(7, 'connection')
(7, 'condom')
(7, 'concession')
(7, 'composite')
(7, 'compared')
(7, 'comforters')
(7, 'collars')
(7, 'colgate')
(7, 'cobbled')
(7, 'coals')
(7, 'clumps')
(7, 'clover')
(7, 'clippings')
(7, 'clippers')
(7, 'clipboard')
(7, 'climber')
(7, 'clicking')
(7, 'civilians')
(7, 'civil')
(7, 'citizen')
(7, 'cilantro')
(7, 'choir')
(7, 'chilling')
(7, 'chillin')
(7, 'chewed')
(7, 'charming')
(7, 'chandeliers')
(7, 'chandelier,')
(7, 'chance')
(7, "cd's")
(7, 'catholic')
(7, 'caterpillar')
(7, 'catamaran')
(7, 'carves')
(7, 'cartoonish')
(7, 'carriers')
(7, 'caravan')
(7, 'cappuccino')
(7, 'cacti')
(7, 'cabins')
(7, 'c')
(7, 'busily')
(7, 'bus"')
(7, 'bullpen')
(7, 'bugs')
(7, 'buckled')
(7, 'brownish')
(7, 'brochures')
(7, 'broccolli')
(7, 'bristles')
(7, 'brave')
(7, 'brahma')
(7, 'boutonniere')
(7, 'borders')
(7, 'booty')
(7, 'boom')
(7, 'boars')
(7, 'boards,')
(7, 'blackened')
(7, 'bizarre')
(7, 'birdcage')
(7, 'birch')
(7, 'bible')
(7, 'beware')
(7, 'berries,')
(7, 'beaked')
(7, 'beacon')
(7, 'beachfront')
(7, 'bass')
(7, 'bareback')
(7, 'bard')
(7, 'bannister')
(7, 'bangs')
(7, 'balck')
(7, 'baguette')
(7, 'baggy')
(7, 'backlit')
(7, 'away,')
(7, 'awards')
(7, 'awake')
(7, 'avocados')
(7, 'authentic')
(7, "atv's")
(7, 'attracts')
(7, 'attend')
(7, 'attachments')
(7, 'atlantic')
(7, 'assist')
(7, 'ascends')
(7, 'arm,')
(7, 'appearance')
(7, 'antlers')
(7, 'anime')
(7, 'anchovies')
(7, 'amazed')
(7, 'alone,')
(7, 'aloft')
(7, 'almond')
(7, 'aircrafts')
(7, 'ahead"')
(7, 'afro')
(7, 'afar')
(7, 'adventure')
(7, 'admires')
(7, 'accessory')
(7, 'above,')
(7, '6th')
(7, '5th')
(7, '50')
(7, '25')
(7, '24')
(7, '22')
(7, "1950's")
(7, '"happy')
(7, '"end')
(7, '"do')
(6, 'yells')
(6, 'yawns')
(6, 'yankees')
(6, 'write')
(6, 'wreaths')
(6, 'wording')
(6, 'woodland')
(6, 'won')
(6, 'wizard')
(6, 'winner')
(6, 'windsurfs')
(6, 'wilting')
(6, 'wii-mote')
(6, 'wii,')
(6, 'wiht')
(6, 'wide-eyed')
(6, 'whiskers')
(6, 'whats')
(6, 'well-organized')
(6, 'wed')
(6, 'weathervane')
(6, 'waves,')
(6, 'watermelons')
(6, 'watercraft')
(6, 'wastebasket')
(6, 'washbasin')
(6, 'war"')
(6, 'walkways')
(6, 'vying')
(6, 'volunteer')
(6, 'vision')
(6, 'vie')
(6, "vehicle's")
(6, 'variations')
(6, 'valves')
(6, 'valleys')
(6, 'users')
(6, 'usage')
(6, 'up"')
(6, 'untouched')
(6, 'until')
(6, 'untied')
(6, 'unplugged')
(6, 'umbrealla')
(6, 'u-turn')
(6, 'two,')
(6, 'twine')
(6, "tv's")
(6, 'turnips')
(6, 'turbines')
(6, 'tub/shower')
(6, 'trunk,')
(6, 'trumpet')
(6, 'truly')
(6, 'trot')
(6, 'trial')
(6, 'trellis')
(6, 'treks')
(6, "tree'd")
(6, 'treading')
(6, 'trashcans')
(6, 'toolbox')
(6, 'toiletry')
(6, 'title')
(6, 'tim')
(6, 'tilts')
(6, 'tiers')
(6, 'thread,')
(6, 'thinly')
(6, 'thigh')
(6, 'thermos')
(6, 'themself')
(6, 'technological')
(6, 'teach')
(6, 'tavern')
(6, 'taught')
(6, 'tart')
(6, 'tapestry')
(6, 'talbot')
(6, 'take-off')
(6, 'taht')
(6, 'tacks')
(6, 'tablets')
(6, 'swords')
(6, 'swirly')
(6, 'swirled')
(6, 'swimmer')
(6, "surfer's")
(6, 'surfboards,')
(6, 'supreme')
(6, 'supported')
(6, 'sunset,')
(6, 'sunny,')
(6, 'sunday')
(6, 'sumo')
(6, 'sum')
(6, 'stylus')
(6, 'studies')
(6, 'strokes')
(6, 'stroke')
(6, 'strawberry,')
(6, 'strapping')
(6, 'strain')
(6, 'stoves,')
(6, 'stop,')
(6, 'stooping')
(6, 'sticks,')
(6, 'steve')
(6, 'stern')
(6, 'stepped')
(6, 'steep,')
(6, 'standng')
(6, 'stalls,')
(6, 'stagecoach')
(6, 'stacking')
(6, 'stabbed')
(6, 'square,')
(6, 'sprouts,')
(6, 'sprout')
(6, 'sporty')
(6, 'spoons,')
(6, 'spooning')
(6, 'spools')
(6, 'spend')
(6, 'speaker,')
(6, 'sparklers')
(6, 'southern')
(6, 'souffle')
(6, 'soccor')
(6, 'soccerball')
(6, 'soapy')
(6, 'snowsuits')
(6, 'snowfall')
(6, 'smokey')
(6, 'smal')
(6, 'slushy')
(6, 'slid')
(6, 'slam')
(6, 'skirt,')
(6, 'skimpy')
(6, 'skilled')
(6, 'skill')
(6, 'skiers,')
(6, 'skewered')
(6, 'skatebaord')
(6, 'situation')
(6, 'sittign')
(6, 'similarly')
(6, 'sibling')
(6, 'showerhead')
(6, 'showed')
(6, 'shoved')
(6, 'shortly')
(6, 'shores')
(6, 'shoelace')
(6, 'shaves')
(6, 'sharpening')
(6, 'sharpener')
(6, 'shapped')
(6, 'shallows')
(6, 'servicing')
(6, 'seminar')
(6, 'segments')
(6, 'see-through')
(6, 'seashells')
(6, 'sculpted')
(6, 'scratches')
(6, 'scrap')
(6, 'scatter')
(6, 'scallions')
(6, 'sauteed')
(6, 'saucer,')
(6, 'sandal')
(6, 'sanctioned')
(6, 'saloon')
(6, 'runways')
(6, 'runners')
(6, 'rue')
(6, 'rubbish')
(6, 'ronald')
(6, 'rom')
(6, 'rolex')
(6, 'rodent')
(6, 'rocky,')
(6, 'roams')
(6, 'rivers')
(6, 'ripening')
(6, 'rimmed')
(6, 'review')
(6, 'retaining')
(6, 'remnants')
(6, 'reindeer')
(6, 'ref')
(6, 'redone')
(6, 'receives')
(6, 'receiver')
(6, 'rearing')
(6, 'realistic')
(6, 'ran')
(6, 'ramen')
(6, 'raised,')
(6, 'railed')
(6, 'raggedy')
(6, 'r')
(6, 'quesadilla')
(6, 'qantas')
(6, 'q')
(6, 'pursuit')
(6, 'punching')
(6, 'protester')
(6, 'protects')
(6, 'projects')
(6, 'programming')
(6, 'production')
(6, 'produce,')
(6, 'proceeding')
(6, 'procedure')
(6, 'preforms')
(6, 'pour')
(6, 'poppy')
(6, 'pool,')
(6, 'plying')
(6, 'pines')
(6, 'pineapples,')
(6, 'pilled')
(6, 'pigtails')
(6, 'piggy')
(6, 'photographers')
(6, 'persian')
(6, 'performers')
(6, 'pepperonis,')
(6, 'peope')
(6, 'pensive')
(6, 'pearls')
(6, 'peacocks')
(6, 'payer')
(6, 'paths')
(6, 'passage')
(6, 'partners')
(6, 'parakeets')
(6, 'paintbrush')
(6, 'pain')
(6, 'outstretched,')
(6, 'ot')
(6, 'orphanage')
(6, 'oreo')
(6, 'operator')
(6, 'operate')
(6, 'open-faced')
(6, 'one-way')
(6, 'offer')
(6, 'off-road')
(6, 'obstructed')
(6, 'objects,')
(6, 'nordic')
(6, 'nobody')
(6, 'nightstands,')
(6, 'nice,')
(6, 'newlywed')
(6, 'network')
(6, 'net,')
(6, 'nerf')
(6, 'negative')
(6, 'needing')
(6, 'nectar')
(6, 'nearest')
(6, 'nativity')
(6, 'napkin,')
(6, 'musicians')
(6, 'munch')
(6, 'multistory')
(6, 'muffins,')
(6, 'motorcyles')
(6, 'motorcylce')
(6, 'mooring')
(6, 'monogrammed')
(6, 'money,')
(6, 'mommy')
(6, 'mold')
(6, 'modeling')
(6, 'mitt,')
(6, 'minnie')
(6, 'minimalist')
(6, 'milks')
(6, 'mile')
(6, 'microsoft')
(6, 'met')
(6, 'messenger')
(6, 'merge')
(6, 'meant')
(6, 'mcdonald')
(6, 'maze')
(6, 'matress')
(6, 'mat,')
(6, "master's")
(6, 'mash')
(6, 'martini')
(6, 'markers,')
(6, 'margherita')
(6, 'manufacturing')
(6, 'manipulated')
(6, 'malaysia')
(6, 'maid')
(6, 'madison')
(6, 'made-up')
(6, 'lunch,')
(6, 'loses')
(6, 'lorry')
(6, 'longingly')
(6, 'logging')
(6, 'lodged')
(6, 'linger')
(6, 'linens,')
(6, 'limousine')
(6, 'lift,')
(6, 'lid,')
(6, 'leftovers')
(6, 'leash,')
(6, 'leak')
(6, 'laser')
(6, 'largest')
(6, 'lapt')
(6, 'lanyard')
(6, 'lampposts')
(6, 'lakeside')
(6, 'kong')
(6, 'knights')
(6, 'kiwis,')
(6, 'kitcehn')
(6, 'kingdom')
(6, 'kilt')
(6, "kids'")
(6, 'kiddie')
(6, 'kettles')
(6, 'kerry')
(6, 'kennel')
(6, 'keepers')
(6, 'kale')
(6, 'kabob')
(6, 'juts')
(6, 'july')
(6, 'juices')
(6, 'johns')
(6, 'jet,')
(6, 'jeff')
(6, 'jeeps')
(6, 'jay')
(6, 'jackson')
(6, 'island,')
(6, 'irish')
(6, 'ipads')
(6, 'ion')
(6, 'inthe')
(6, 'instructing')
(6, 'inspected')
(6, 'insides')
(6, 'inscription')
(6, 'initials')
(6, 'infamous')
(6, 'individually')
(6, 'impressed')
(6, 'imitating')
(6, 'icicles')
(6, 'ice-cream')
(6, 'hutch')
(6, 'hurt')
(6, 'hunches')
(6, 'hummus')
(6, 'hull')
(6, "house's")
(6, 'hot-dog')
(6, 'hors')
(6, 'hops')
(6, 'hooves')
(6, 'hong')
(6, 'homeplate')
(6, 'holder,')
(6, 'hoisted')
(6, 'highlights')
(6, 'highest')
(6, 'hes')
(6, 'hen')
(6, 'heaped')
(6, 'hauled')
(6, 'harbour')
(6, 'hangers')
(6, 'handrails')
(6, 'hamper')
(6, 'guinness')
(6, 'grungy')
(6, 'growling')
(6, 'grizzle')
(6, 'grin')
(6, 'grimacing')
(6, 'grills')
(6, 'granola,')
(6, 'granny')
(6, 'grandma')
(6, 'graffiti,')
(6, 'grace')
(6, 'goofing')
(6, 'golfer')
(6, 'goggles,')
(6, 'glows')
(6, 'glory')
(6, 'glazing')
(6, 'girraffe')
(6, 'george')
(6, 'gaze')
(6, 'gallops')
(6, 'funeral')
(6, 'functional')
(6, 'fulled')
(6, 'fueling')
(6, 'frontier')
(6, 'framing')
(6, 'four-wheeler')
(6, 'formation,')
(6, 'forces')
(6, 'footpath')
(6, 'footlong')
(6, 'foothills')
(6, 'foldable')
(6, 'foilage')
(6, 'flying,')
(6, 'flutes')
(6, 'floret')
(6, 'floaters')
(6, 'flippers')
(6, 'flesh')
(6, 'flaps')
(6, 'flap')
(6, 'flank')
(6, 'flags,')
(6, 'flag,')
(6, 'fish-eye')
(6, 'firsbee')
(6, 'fingertips')
(6, 'finds')
(6, 'fifties')
(6, 'fierce')
(6, 'fielder')
(6, 'feet,')
(6, 'feathery')
(6, 'faster')
(6, 'farming')
(6, 'fading')
(6, 'fabulous')
(6, 'eyeing')
(6, 'eyeballs')
(6, 'extensive')
(6, 'experience')
(6, 'exhausted')
(6, 'executes')
(6, 'exact')
(6, 'escorting')
(6, 'escorted')
(6, 'entrees')
(6, 'ensemble')
(6, 'enjoyed')
(6, 'engine,')
(6, 'enclose')
(6, 'emptying')
(6, 'email')
(6, 'elvis')
(6, 'elongated')
(6, 'elements')
(6, 'elbows')
(6, 'effects')
(6, 'eat-in')
(6, 'ease')
(6, 'earbuds')
(6, 'eager')
(6, 'dynamite')
(6, "dunkin'")
(6, 'dumped')
(6, 'dumb')
(6, 'dull')
(6, 'drooping')
(6, 'drizzling')
(6, 'driftwood')
(6, 'drifts')
(6, 'drier')
(6, 'dribbling')
(6, 'dread')
(6, 'doorways')
(6, 'donation')
(6, 'doggy')
(6, 'dodging')
(6, 'diverse')
(6, 'display,')
(6, 'dish,')
(6, 'disembarking')
(6, 'disco')
(6, 'disassembled')
(6, 'directions,')
(6, 'directed')
(6, 'dipped')
(6, 'dinosaurs')
(6, 'digs')
(6, 'die')
(6, 'dick')
(6, 'diagram')
(6, 'designer')
(6, 'descent')
(6, 'delight')
(6, 'decoratively')
(6, 'decks')
(6, 'decided')
(6, 'dancers')
(6, 'daisy')
(6, 'cubical')
(6, 'cubed')
(6, 'crusts')
(6, 'crust,')
(6, 'crowns')
(6, 'crowed')
(6, 'crossroad')
(6, 'crossing"')
(6, 'crews')
(6, 'crepes')
(6, 'creatively')
(6, 'crayons')
(6, 'crawls')
(6, 'crater')
(6, 'craggy')
(6, 'cradle')
(6, 'covers,')
(6, 'courtroom')
(6, 'counter-top')
(6, 'cough')
(6, 'cosmetic')
(6, 'corporate')
(6, 'corners')
(6, 'convex')
(6, 'conventional')
(6, 'controls,')
(6, 'controllers,')
(6, 'contrail')
(6, 'continue')
(6, 'consoles')
(6, 'connects')
(6, 'congratulating')
(6, 'confinement')
(6, 'compound')
(6, 'comparing')
(6, 'combat')
(6, 'colors,')
(6, 'collision')
(6, 'coffe')
(6, 'code')
(6, 'coconuts')
(6, 'cob,')
(6, 'coached')
(6, 'closes')
(6, 'click')
(6, 'clementines')
(6, 'clementine')
(6, 'classical')
(6, 'ciabatta')
(6, 'chugging')
(6, 'chic')
(6, 'cheerful')
(6, 'cheddar')
(6, 'checkout')
(6, 'ceramics')
(6, 'centre')
(6, 'cemetary')
(6, 'cause')
(6, 'cart,')
(6, 'cards,')
(6, 'camouflaged')
(6, 'calfs')
(6, 'calculators')
(6, 'busses,')
(6, 'bureau')
(6, 'bulidings')
(6, 'bulb')
(6, 'buiding')
(6, 'buddy')
(6, 'buddhist')
(6, 'buddha')
(6, 'bucks')
(6, 'brunch')
(6, 'browns,')
(6, 'browned')
(6, 'britain')
(6, 'breasted')
(6, 'braided')
(6, 'boxers')
(6, 'boxcars')
(6, 'bowler')
(6, 'bouquets')
(6, 'bottoms')
(6, 'bookbag')
(6, 'bonsai')
(6, 'bonds')
(6, 'boeing')
(6, 'boaters')
(6, 'bluff')
(6, 'bluebird')
(6, 'blinder')
(6, 'blazing')
(6, "bird's")
(6, "bike's")
(6, 'bid')
(6, 'bi')
(6, 'beetle')
(6, 'bedding,')
(6, 'becoming')
(6, 'beast')
